Experiment,Model,Imbalance Method,Accuracy,Weighted_F1,Macro_F1,Run_ID
Experiment 6,Final_Stacking_Ensemble_Undersample,undersampling,0.7867,0.7856,0.7705,c8b1f4c4722d46ffb49eb666d47aeb29
Experiment 5,BEST_HPT_LinearSVC_HPT,undersampling,0.7849,0.7828,0.7679,4a3eacc03c114d33bf413326b80f5b53
